vibe::percussive,vibe::raw,vibe::euphoric,vibe::vocal,vibe::intense,vibe::piano,mood_top,genre_pred,energy_rms,engagement,track_id,vibe::dreamy,vibe::minimal,vibe::instrumental,vibe::driving,vibe::dark,vibe::deep,vibe::warm,vibe::hypnotic,vibe::punchy,vibe::atmospheric
2.5465,2.4915,1.6073,1.1597,0.4254,0.391,percussive / raw / euphoric,percussive,0.35122,0.33092,11309065,,,,,,,,,,
,0.8338,,0.9348,,0.0282,vocal / raw / dreamy,vocal,-0.75982,-0.29149,94954597,0.2106,-0.003,-0.0437,,,,,,,
1.0007,1.4354,1.3333,1.4752,1.0171,,vocal / raw / euphoric,vocal,0.69284,0.85164,79011702,,,,0.9397,,,,,,
,1.476,,0.9626,,,raw / driving / vocal,raw,0.22872,0.17755,186900356,0.4428,,0.6317,1.1879,0.8622,,,,,
-0.2421,,-1.5398,,,-1.4794,percussive / minimal / deep,percussive,-1.85785,-1.513,21840649,-1.3865,-0.9089,,,,-1.2049,,,,
,1.3314,,1.2841,,0.748,instrumental / raw / vocal,instrumental,-0.14231,0.10964,138902476,0.7934,,1.6559,0.7403,,,,,,
0.7142,0.9951,,0.7521,,,raw / vocal / percussive,raw,0.02591,-0.23796,5191576,,,-0.0232,0.3045,,,-0.0873,,,
2.1226,1.0542,2.1527,,0.9472,,euphoric / percussive / warm,euphoric,0.77956,1.2301,255199389,,,,,,,1.7396,0.5822,,
,,,0.7275,,0.6549,dreamy / instrumental / minimal,dreamy,-0.59627,0.23337,35624456,1.1375,0.7779,1.1037,,,0.466,,,,
,,,,,2.038,punchy / piano / instrumental,punchy,1.13726,0.66996,37999731,,1.5869,2.0371,,,1.5209,,1.3876,2.4059,
0.3438,1.2376,0.4865,1.1735,,,raw / vocal / atmospheric,raw,-0.01098,0.26325,111679909,,,,,0.4059,,,,,0.6709
,,,,,1.7076,minimal / piano / warm,minimal,0.00666,1.03216,106555528,1.3689,1.7911,,,,,1.5363,1.4416,,1.0162
,1.5287,,,1.247,,dark / raw / deep,dark,0.80492,0.68933,258696664,,,1.1854,,1.6679,1.4034,,,,1.1688
1.1622,0.1125,-0.0648,0.5009,,0.0919,percussive / vocal / raw,percussive,-0.27977,-0.40569,178803599,,,0.0403,,,,,,,
,,1.9586,,2.0524,,driving / dark / warm,driving,1.39555,1.82111,75813422,,,,2.314,2.2722,2.2204,2.2536,,,
,,,1.1534,,0.8796,vocal / piano / dreamy,vocal,-0.21331,0.50822,230088001,0.7826,,0.4974,,,,,0.6434,,0.62
2.7856,-0.9706,-0.3823,,-0.7977,,percussive / warm / euphoric,percussive,-0.00815,-0.79375,100371185,,,,,,,-0.3235,,-0.8855,
,,,,0.6136,,punchy / deep / dark,punchy,0.35999,0.20564,212712290,,,,,0.8467,0.9091,0.6026,,1.0927,0.4149
,0.0594,,0.2976,,,vocal / minimal / raw,vocal,-0.56667,-0.68332,252966275,-0.1312,0.2554,-0.0763,-0.1916,,,,,,
,0.4209,,0.8478,,,instrumental / minimal / vocal,instrumental,-0.81666,-0.09656,160355775,0.7154,0.9807,1.0415,,,0.7979,,,,
,,2.9867,,,2.4821,warm / euphoric / atmospheric,warm,1.04872,3.05823,55193587,2.6937,,,,,,3.4943,2.6455,,2.8344
0.5329,,,,0.532,,hypnotic / atmospheric / dreamy,hypnotic,0.40493,0.39136,149360531,0.7061,0.6195,,,,,,0.8325,,0.7855
,1.8997,,2.0495,,,vocal / raw / instrumental,vocal,0.3929,0.98474,28451401,1.6814,,1.7396,1.3408,,,,,,1.5216
0.2706,0.3248,-0.4803,,,-0.429,raw / percussive / punchy,raw,-0.31149,-0.53955,44998605,,,,,,-0.3396,,,-0.164,
,-0.7209,,-0.1815,,,vocal / minimal / raw,vocal,-1.41447,-1.30656,170069817,-0.8024,-0.5386,-0.8788,,,-0.8247,,,,
,,,0.5803,,,dreamy / minimal / vocal,dreamy,-0.80381,0.08044,129944120,1.0974,1.0282,0.1256,,,,0.3195,,,0.2859
,1.7099,,1.4911,,0.4463,raw / vocal / dreamy,raw,-0.22464,0.06267,227044174,0.8981,,0.8839,,,0.4893,,,,
0.3413,,,0.2683,,-0.2414,percussive / vocal / dreamy,percussive,-0.47625,-0.52053,17845458,-0.14,-0.3983,,,,,,,,-0.2844
,2.2068,,1.6481,1.916,,driving / raw / intense,driving,1.53963,1.31678,165576752,,,,2.4392,1.8538,,1.6772,,,
,0.9877,,,,,minimal / warm / raw,minimal,0.60298,0.59374,122388156,,1.3559,,0.9393,0.6971,,1.1985,,0.6925,
0.8393,,,,1.0983,,punchy / intense / driving,punchy,1.04596,0.60477,169392022,,,,1.0352,,,0.7347,,1.2111,0.7235
,2.433,,1.106,,,raw / warm / dreamy,raw,0.38426,1.11586,48113818,1.2198,,1.1378,,,0.9754,1.3752,,,
,1.4418,,1.2397,,0.8582,raw / vocal / driving,raw,0.34119,0.51895,134571030,0.767,,,0.8714,,,0.8303,,,
1.3922,0.4969,-0.0856,0.2459,,,percussive / raw / vocal,percussive,-0.17025,-0.52633,223186299,,,,-0.3404,,,-0.3835,,,
,,,,,,deep / punchy / dark,deep,0.00471,0.32527,20516033,0.6568,0.6743,,,0.8853,1.466,,0.8446,1.1138,
,0.4256,,0.3087,,,punchy / dark / driving,punchy,0.45917,0.08836,264406092,,,,0.7379,0.7677,,0.3889,,0.9945,
0.547,,,,,,atmospheric / dreamy / dark,atmospheric,0.25756,0.32246,134401873,0.6968,0.4623,,,0.6463,,,0.5958,,0.6993
-0.4826,0.6703,,0.5909,,,raw / vocal / instrumental,raw,-0.88734,-0.62813,219689843,-0.3761,-0.4085,-0.3626,,,,,,,
1.5235,1.575,0.6622,0.5426,,,raw / percussive / euphoric,raw,-0.331,0.22634,244763642,-0.4212,,,,,,0.438,,,
0.5297,0.1912,,0.8416,,-0.24,vocal / percussive / raw,vocal,-0.56916,-0.40532,46496297,-0.0584,,-0.266,,,,,,,
0.5925,-0.4256,-0.6189,0.4734,,,percussive / vocal / raw,percussive,-0.68027,-0.80783,161215666,-0.745,,-0.5156,,,,,,,
1.4302,0.5702,-0.0373,-0.3942,-0.1824,,percussive / raw / euphoric,percussive,-0.02972,-0.68694,194601984,,,,-0.5459,,,,,,
,,,,,1.4357,minimal / piano / hypnotic,minimal,-0.02054,0.15275,36354010,0.7013,1.5758,0.913,,,,,0.9658,,0.9585
0.848,0.2546,0.2913,0.3422,0.0855,,percussive / warm / vocal,percussive,-0.01511,0.09834,16124557,,,,,,,0.4249,,,
,,1.5256,,,,dark / deep / punchy,dark,0.83533,0.99112,94926741,,,,,2.0745,1.8809,1.4902,1.4556,1.552,
1.1005,0.4845,0.3656,,,,percussive / raw / warm,percussive,-0.01544,-0.07199,190748698,,,,-0.1101,,,0.383,,-0.4977,
,1.3893,1.8055,,1.6279,,warm / euphoric / dark,warm,1.25122,1.52846,162782838,,,,1.6622,1.6721,,1.9146,,,
1.4481,0.2322,0.3586,0.0721,0.1026,,percussive / euphoric / raw,percussive,0.07252,-0.55228,233315453,,,,,,,,-0.2483,,
,,1.3328,,1.2377,1.5119,warm / driving / piano,warm,1.01295,1.59635,227310156,1.1591,,,1.9847,,,2.2972,,,
,1.4353,,,,1.706,instrumental / piano / deep,instrumental,0.68479,0.76427,172528917,1.3619,,1.8409,1.2413,,1.4497,,,,
,1.9659,0.7257,0.7209,,1.2776,raw / driving / warm,raw,0.36051,0.89027,86833725,,,,1.6617,,,1.41,,,
0.9954,-0.3816,,0.5078,,0.0774,percussive / vocal / piano,percussive,-1.03512,-1.33297,22944267,-0.8156,,-0.7845,,,,,,,
1.3465,0.7632,1.052,,1.173,,percussive / intense / euphoric,percussive,0.83973,0.81923,182192804,,,,0.7395,0.9003,,,,,
0.6482,0.9055,0.0124,0.9156,,,vocal / raw / percussive,vocal,0.17698,0.13172,103940111,,,,0.3201,,,0.3934,,,
,,,2.1756,,1.8508,vocal / instrumental / dreamy,vocal,0.4837,0.78296,49654583,1.8668,1.8593,2.1336,,,,,,,1.5735
,1.3385,,1.3858,,,vocal / raw / driving,vocal,0.26814,0.55492,90115565,,0.9472,1.0066,1.0087,,,0.8435,,,
0.918,,-0.3041,0.0077,0.0831,,percussive / intense / vocal,percussive,0.03979,-0.51384,227412787,-0.4154,,,-0.1514,,,,,,
1.5155,0.0483,0.3307,-0.0094,0.3815,,percussive / intense / euphoric,percussive,0.35698,-0.17667,132504825,,,-0.0885,,,,,,,
,,,,,,instrumental / minimal / dreamy,instrumental,-0.49061,-0.3846,121222526,0.0349,0.1614,0.3623,0.0087,,-0.029,,,0.0258,
,1.1204,,1.3138,,1.7865,piano / vocal / dreamy,piano,0.29157,0.77055,200624245,1.2774,1.0954,,1.2734,,,,,,
0.7711,0.8351,,-0.1503,,,raw / percussive / vocal,raw,-0.5092,-0.73406,216295629,-0.5151,,,-0.7866,,,-0.7978,,,
,1.0892,,1.4757,,,vocal / raw / instrumental,vocal,-0.05494,0.13388,246317942,0.6518,0.4756,0.8419,,,,,,,0.4487
1.0426,-0.64,-0.5216,,,,percussive / punchy / euphoric,percussive,-0.27504,-0.84074,12168400,,,,,-0.6559,-0.5426,,,-0.4116,
0.8412,-0.9783,-0.7823,-0.7577,-0.997,,percussive / vocal / euphoric,percussive,-0.60913,-1.01359,197720491,,,,,,,,,-0.877,
0.8171,,-0.3241,,,,percussive / dark / driving,percussive,-0.05396,-0.69334,77916651,,,,-0.2889,-0.2562,-0.3914,,,-0.2942,
0.792,-1.0659,0.037,-0.4936,-0.5937,-0.5504,percussive / euphoric / vocal,percussive,-1.2271,-1.43108,198418359,,,,,,,,,,
0.8356,,-0.2422,,-0.0989,,punchy / percussive / dark,punchy,0.32693,-0.61422,70531240,,,,-0.2788,-0.0607,,,,0.8499,
0.0027,-0.8331,,,-1.3154,-0.9193,percussive / raw / piano,percussive,-0.88159,-1.38638,240358091,,,,-1.2366,,,,,-0.9771,
,0.5187,0.2901,0.525,0.5967,,intense / vocal / raw,intense,0.25573,0.07406,202010194,,,,0.4667,0.2333,,,,,
,,,,,1.0217,dreamy / piano / instrumental,dreamy,-0.19635,0.11105,220959893,1.0974,0.6544,0.7857,0.6294,,,,,0.3871,
,1.1333,,1.2,,,vocal / dreamy / raw,vocal,0.05617,0.4897,66524880,1.1375,,0.7673,1.0288,,0.6962,,,,
0.465,,,0.0021,,0.0454,percussive / minimal / dreamy,percussive,-0.09452,-0.18193,173575903,0.1029,0.2488,,,,,,,0.0337,
0.8505,1.027,1.6371,2.3928,1.0076,,vocal / euphoric / raw,vocal,0.26788,0.88946,69525534,,,,,,,,,,0.6584
0.2882,0.9366,0.0512,0.8421,-0.0886,,raw / vocal / percussive,raw,-0.22182,-0.10673,80398121,,,0.0139,,,,,,,
,0.197,,0.9745,,-0.4369,vocal / raw / dreamy,vocal,-2.0763,-1.12869,259451788,0.0502,-0.8447,-0.3478,,,,,,,
1.0737,1.3501,2.2411,2.5561,1.405,1.6247,vocal / euphoric / piano,vocal,0.56588,1.35649,267332778,,,,,,,,,,
0.5326,0.8344,0.3113,0.5998,,,driving / raw / vocal,driving,0.30437,0.27506,208440852,,,,0.8539,,,0.5239,,,
,,,-0.2688,,-0.3616,driving / minimal / dreamy,driving,-0.78389,-0.60041,210715841,-0.1774,-0.1675,-0.2139,-0.0822,,,,,,
0.2404,-1.3313,,-0.6915,-1.5705,,percussive / vocal / punchy,percussive,-1.07904,-1.79549,72286358,,,-1.4702,,,,,,-0.9182,
,,,-0.3155,,-0.6712,vocal / driving / piano,vocal,-0.84383,-1.0097,116639212,,-0.7249,,-0.6343,-0.7721,,,,-0.6773,
,0.9317,,,,0.8292,deep / hypnotic / raw,deep,0.06984,0.63129,11059531,0.6763,,,,,1.2682,,0.9536,0.7645,
,,,1.778,,,dreamy / instrumental / vocal,dreamy,0.51642,1.32203,85381594,1.8981,1.6187,1.8214,1.706,,,1.4954,,,
,-0.1275,,-0.6204,,-0.7251,raw / punchy / deep,raw,-0.68629,-1.01319,80842224,,,,-0.7582,,-0.5768,,,-0.1682,
,0.8605,,1.2475,,0.5197,vocal / raw / instrumental,vocal,-0.28595,-0.12741,71270825,,,0.5267,,0.3379,,,,,0.3859
,1.3543,,1.0591,0.2065,,raw / vocal / deep,raw,-0.34718,-0.17084,67780172,,,,,0.2373,0.3506,,,,0.0228
0.429,-0.8954,,0.2332,-1.4125,-1.0014,percussive / vocal / raw,percussive,-1.27608,-1.85802,240028548,,,-1.1121,,,,,,,
0.4279,,,,,,deep / dark / minimal,deep,-0.03739,0.26523,14420445,,0.493,,,0.5233,0.909,0.4539,0.361,,
0.4862,0.3036,-0.0928,-0.1386,,,percussive / raw / dark,percussive,-0.21179,-0.98343,249956846,,,,,0.0544,,,,-0.1775,
0.148,0.833,0.2085,1.1566,,,vocal / raw / instrumental,vocal,-0.0323,-0.0306,190679893,,,0.5378,0.265,,,,,,
1.3238,1.4189,0.676,1.3064,,,raw / percussive / vocal,raw,0.01205,0.44553,236329954,,,0.2831,,,,0.4439,,,
,-0.6645,,0.3511,,-0.4626,vocal / dreamy / minimal,vocal,-1.28447,-0.70528,4057805,0.1863,0.1541,-0.0636,,,,,,,
0.6433,-0.7352,,,,,percussive / punchy / raw,percussive,-0.56272,-1.40048,214906319,,,,-1.09,-1.2129,,-1.0822,,-0.3112,
,0.2023,0.3413,0.7962,,,vocal / euphoric / warm,vocal,-0.59257,0.29023,16015886,0.2003,,,,0.0787,,0.3291,,,
1.2676,1.3382,0.5294,1.0384,,,raw / percussive / vocal,raw,-0.79726,-0.20515,109886684,-0.4879,,-0.5126,,,,,,,
,,,,1.5451,,deep / dark / hypnotic,deep,0.82888,1.3011,81663092,,,,,1.9122,2.1028,,1.8501,1.6356,1.6659
0.2409,0.5285,0.0957,0.7394,-0.4265,,vocal / raw / percussive,vocal,-0.57228,-0.3061,154172776,-0.3628,,,,,,,,,
,-0.2304,,0.0971,,-0.2284,vocal / driving / punchy,vocal,-0.3714,-0.49901,33601534,,,-0.2627,-0.1045,,,,,-0.1857,
,,,,,,warm / hypnotic / dark,warm,-0.27933,0.73132,188536659,0.727,,,,0.8956,0.5697,1.1655,0.9057,,0.7176
,2.0995,,,1.4168,,deep / raw / dark,deep,0.7147,0.74478,183894830,,,1.3976,,1.4549,2.3258,,,,1.2893
2.0606,1.5638,2.4785,,1.4544,,euphoric / warm / percussive,euphoric,1.22831,1.61162,201436905,,,,1.0148,,,2.2619,,,
1.0051,-1.1649,-1.594,,,,percussive / raw / punchy,percussive,-1.00524,-1.71409,198414739,,,,-1.6797,,,-1.6597,,-1.2926,
-0.3755,,,,,-0.4941,punchy / minimal / percussive,punchy,-0.79709,-1.15056,145017377,,-0.2092,-0.4815,,,,,-0.7616,0.0456,
0.4969,,-0.2444,-0.0985,-0.2888,,percussive / vocal / euphoric,percussive,-0.14592,-0.60633,197562394,,,-0.3636,-0.389,,,,,,
,1.4473,,,,,deep / raw / instrumental,deep,0.48167,0.93684,90500468,1.1609,,1.4013,,1.2338,1.763,,1.0584,,
