track_id,est_bpm,brightness,energy_rms,percussiveness
11309065,103.36,2275.62,0.29226,0.08204
94954597,123.05,1996.47,0.28242,0.07393
79011702,123.05,2634.73,0.17655,0.1059
186900356,123.05,2632.82,0.24787,0.11483
21840649,83.35,1410.68,0.22046,0.03474
138902476,123.05,1800.11,0.2622,0.05343
5191576,123.05,2860.63,0.33447,0.11436
255199389,123.05,1758.68,0.20774,0.06997
35624456,123.05,1548.21,0.24905,0.04807
37999731,123.05,3086.46,0.15489,0.18046
111679909,136.0,1776.51,0.25623,0.05579
106555528,123.05,1622.66,0.19121,0.04943
258696664,123.05,2646.64,0.23579,0.07938
178803599,123.05,2155.09,0.22665,0.07302
75813422,107.67,1792.21,0.19972,0.05054
230088001,123.05,1722.52,0.27047,0.06613
100371185,129.2,2117.43,0.27111,0.08401
212712290,103.36,1922.99,0.20858,0.05898
252966275,123.05,2183.23,0.30995,0.09256
160355775,123.05,2455.7,0.23433,0.0913
55193587,123.05,1669.2,0.1715,0.05676
149360531,117.45,2665.03,0.20532,0.1239
28451401,117.45,2182.11,0.30257,0.06324
44998605,123.05,1802.73,0.21793,0.08564
170069817,123.05,2598.84,0.23232,0.1076
129944120,123.05,2243.0,0.24756,0.07688
227044174,129.2,1836.08,0.30651,0.06247
17845458,123.05,2603.06,0.25123,0.09737
165576752,129.2,2547.63,0.31514,0.09191
122388156,123.05,2016.04,0.25739,0.07057
169392022,123.05,2124.55,0.23034,0.06409
48113818,123.05,1424.2,0.37618,0.04615
134571030,123.05,2112.1,0.32345,0.06175
223186299,143.55,2274.93,0.28791,0.09913
20516033,123.05,1949.21,0.30194,0.06089
264406092,129.2,2537.3,0.23632,0.10739
134401873,123.05,2764.69,0.26237,0.10631
219689843,129.2,2130.11,0.31329,0.0652
244763642,117.45,2228.74,0.28142,0.08521
46496297,129.2,2829.58,0.26292,0.11457
161215666,129.2,3113.9,0.2254,0.1442
194601984,123.05,2673.18,0.26851,0.11378
36354010,123.05,1419.39,0.13658,0.0706
16124557,129.2,2188.65,0.29725,0.0759
94926741,123.05,1602.93,0.3392,0.04078
190748698,112.35,2683.79,0.20454,0.11131
162782838,129.2,2337.18,0.33624,0.07936
233315453,129.2,2704.03,0.31447,0.11985
227310156,129.2,2313.01,0.31978,0.08247
172528917,123.05,2462.47,0.18031,0.08295
86833725,123.05,2388.53,0.20534,0.09292
22944267,117.45,2674.13,0.28787,0.10573
182192804,117.45,2730.22,0.28885,0.11185
103940111,123.05,2544.79,0.2728,0.10835
49654583,123.05,2367.26,0.21387,0.08967
90115565,123.05,2596.0,0.18546,0.10299
227412787,117.45,2708.73,0.26842,0.10672
132504825,129.2,2501.79,0.19262,0.09331
121222526,123.05,2382.12,0.25795,0.08348
200624245,129.2,2053.28,0.2754,0.07592
216295629,129.2,1927.02,0.27784,0.07743
246317942,123.05,2033.17,0.30344,0.0629
12168400,129.2,2553.48,0.29366,0.11401
197720491,129.2,2393.96,0.35265,0.08153
77916651,129.2,2432.01,0.25193,0.1098
198418359,123.05,2651.04,0.24778,0.11432
70531240,123.05,2795.93,0.23458,0.12998
240358091,136.0,2428.33,0.35331,0.07785
202010194,123.05,2776.64,0.28137,0.11942
220959893,95.7,1880.68,0.26422,0.05763
66524880,95.7,2011.7,0.19761,0.08499
173575903,123.05,2693.76,0.20261,0.11655
69525534,123.05,2027.39,0.22576,0.08661
80398121,117.45,2259.6,0.37256,0.05529
259451788,136.0,1676.84,0.30764,0.06149
267332778,123.05,2082.01,0.32064,0.07023
